student_id,subject,exam_type,max_marks,obtained_marks,percentage,exam_date,evaluator
2,Mathematics,Unit Test 2,20,11.65,58.25,2025-10-20,Prof. Singh
2,Mathematics,Mid Semester,30,10.92,36.39,2025-11-10,Prof. Kumar
2,Mathematics,Assignment 1,10,6.21,62.09,2025-09-30,Prof. Kumar
2,Mathematics,Assignment 2,10,5.99,59.91,2025-10-30,Prof. Singh
2,Mathematics,Lab Internal,10,4.81,48.1,2025-11-20,Prof. Kumar
2,Physics,Unit Test 1,20,10.58,52.88,2025-09-15,Prof. Kumar
2,Physics,Unit Test 2,20,13.66,68.32,2025-10-20,Prof. Gupta
2,Physics,Mid Semester,30,19.25,64.16,2025-11-10,Prof. Gupta
2,Physics,Assignment 1,10,7.23,72.32,2025-09-30,Prof. Singh
2,Physics,Assignment 2,10,6.67,66.68,2025-10-30,Prof. Singh
2,Physics,Lab Internal,10,1.3,13.03,2025-11-20,Prof. Singh
2,Chemistry,Unit Test 1,20,7.31,36.55,2025-09-15,Prof. Kumar
2,Chemistry,Unit Test 2,20,6.91,34.53,2025-10-20,Prof. Kumar
2,Chemistry,Mid Semester,30,14.86,49.52,2025-11-10,Prof. Kumar
2,Chemistry,Assignment 1,10,2.11,21.07,2025-09-30,Prof. Gupta
2,Chemistry,Assignment 2,10,5.71,57.14,2025-10-30,Prof. Kumar
2,Chemistry,Lab Internal,10,2.95,29.5,2025-11-20,Prof. Gupta
2,Computer Science,Unit Test 1,20,8.64,43.19,2025-09-15,Prof. Kumar
2,Computer Science,Unit Test 2,20,11.19,55.93,2025-10-20,Prof. Singh
2,Computer Science,Mid Semester,30,13.24,44.12,2025-11-10,Prof. Kumar
2,Computer Science,Assignment 1,10,2.6,25.99,2025-09-30,Prof. Kumar
2,Computer Science,Assignment 2,10,4.01,40.08,2025-10-30,Prof. Singh
2,Computer Science,Lab Internal,10,6.75,67.48,2025-11-20,Prof. Singh
2,Electronics,Unit Test 1,20,6.6,32.98,2025-09-15,Prof. Kumar
2,Electronics,Unit Test 2,20,11.9,59.51,2025-10-20,Prof. Kumar
2,Electronics,Mid Semester,30,16.46,54.87,2025-11-10,Prof. Kumar
2,Electronics,Assignment 1,10,8.51,85.1,2025-09-30,Prof. Singh
2,Electronics,Assignment 2,10,6.24,62.44,2025-10-30,Prof. Gupta
2,Electronics,Lab Internal,10,2.88,28.84,2025-11-20,Prof. Gupta
2,Mechanical Engineering,Unit Test 1,20,13.7,68.5,2025-09-15,Prof. Gupta
2,Mechanical Engineering,Unit Test 2,20,10.2,50.98,2025-10-20,Prof. Kumar
2,Mechanical Engineering,Mid Semester,30,11.75,39.17,2025-11-10,Prof. Kumar
2,Mechanical Engineering,Assignment 1,10,4.93,49.35,2025-09-30,Prof. Gupta
2,Mechanical Engineering,Assignment 2,10,6.91,69.14,2025-10-30,Prof. Singh
2,Mechanical Engineering,Lab Internal,10,6.47,64.67,2025-11-20,Prof. Singh
3,Mathematics,Unit Test 1,20,8.87,44.33,2025-09-15,Prof. Gupta
3,Mathematics,Unit Test 2,20,8.91,44.53,2025-10-20,Prof. Singh
3,Mathematics,Mid Semester,30,17.18,57.28,2025-11-10,Prof. Singh
3,Mathematics,Assignment 1,10,8.22,82.24,2025-09-30,Prof. Gupta
3,Mathematics,Assignment 2,10,3.72,37.23,2025-10-30,Prof. Singh
3,Mathematics,Lab Internal,10,3.17,31.69,2025-11-20,Prof. Gupta
3,Physics,Unit Test 1,20,9.57,47.86,2025-09-15,Prof. Gupta
3,Physics,Unit Test 2,20,11.09,55.43,2025-10-20,Prof. Singh
3,Physics,Mid Semester,30,11.02,36.72,2025-11-10,Prof. Gupta
3,Physics,Assignment 1,10,3.01,30.12,2025-09-30,Prof. Singh
3,Physics,Assignment 2,10,6.89,68.86,2025-10-30,Prof. Gupta
3,Physics,Lab Internal,10,3.97,39.66,2025-11-20,Prof. Kumar
3,Chemistry,Unit Test 1,20,10.71,53.55,2025-09-15,Prof. Singh
3,Chemistry,Unit Test 2,20,10.67,53.37,2025-10-20,Prof. Singh
3,Chemistry,Mid Semester,30,8.78,29.26,2025-11-10,Prof. Gupta
3,Chemistry,Assignment 1,10,3.24,32.42,2025-09-30,Prof. Gupta
3,Chemistry,Assignment 2,10,4.47,44.65,2025-10-30,Prof. Kumar
3,Chemistry,Lab Internal,10,8.12,81.24,2025-11-20,Prof. Kumar
3,Computer Science,Unit Test 1,20,10.16,50.82,2025-09-15,Prof. Kumar
3,Computer Science,Unit Test 2,20,8.43,42.14,2025-10-20,Prof. Kumar
3,Computer Science,Mid Semester,30,19.11,63.7,2025-11-10,Prof. Kumar
3,Computer Science,Assignment 1,10,4.81,48.09,2025-09-30,Prof. Singh
3,Computer Science,Assignment 2,10,5.28,52.77,2025-10-30,Prof. Gupta
3,Computer Science,Lab Internal,10,6.35,63.53,2025-11-20,Prof. Singh
3,Electronics,Unit Test 1,20,11.79,58.95,2025-09-15,Prof. Kumar
3,Electronics,Unit Test 2,20,12.72,63.6,2025-10-20,Prof. Kumar
3,Electronics,Mid Semester,30,17.22,57.41,2025-11-10,Prof. Gupta
3,Electronics,Assignment 1,10,6.67,66.7,2025-09-30,Prof. Gupta
3,Electronics,Assignment 2,10,6.82,68.24,2025-10-30,Prof. Gupta
3,Electronics,Lab Internal,10,7.21,72.05,2025-11-20,Prof. Gupta
3,Mechanical Engineering,Unit Test 1,20,8.5,42.48,2025-09-15,Prof. Kumar
3,Mechanical Engineering,Unit Test 2,20,7.06,35.3,2025-10-20,Prof. Singh
3,Mechanical Engineering,Mid Semester,30,16.41,54.69,2025-11-10,Prof. Kumar
3,Mechanical Engineering,Assignment 1,10,7.91,79.12,2025-09-30,Prof. Gupta
3,Mechanical Engineering,Assignment 2,10,6.49,64.91,2025-10-30,Prof. Kumar
3,Mechanical Engineering,Lab Internal,10,2.7,27.02,2025-11-20,Prof. Gupta
4,Mathematics,Unit Test 1,20,6.31,31.55,2025-09-15,Prof. Kumar
4,Mathematics,Unit Test 2,20,10.03,50.13,2025-10-20,Prof. Kumar
4,Mathematics,Mid Semester,30,13.38,44.59,2025-11-10,Prof. Kumar
4,Mathematics,Assignment 1,10,1.53,15.28,2025-09-30,Prof. Kumar
4,Mathematics,Assignment 2,10,3.01,30.13,2025-10-30,Prof. Singh
4,Mathematics,Lab Internal,10,7.62,76.19,2025-11-20,Prof. Gupta
4,Physics,Unit Test 1,20,7.8,39.01,2025-09-15,Prof. Gupta
4,Physics,Unit Test 2,20,8.06,40.31,2025-10-20,Prof. Singh
4,Physics,Mid Semester,30,8.23,27.42,2025-11-10,Prof. Kumar
4,Physics,Assignment 1,10,5.24,52.4,2025-09-30,Prof. Kumar
4,Physics,Assignment 2,10,2.87,28.74,2025-10-30,Prof. Singh
4,Physics,Lab Internal,10,2.52,25.24,2025-11-20,Prof. Kumar
4,Chemistry,Unit Test 1,20,9.99,49.94,2025-09-15,Prof. Kumar
4,Chemistry,Unit Test 2,20,5.87,29.37,2025-10-20,Prof. Kumar
4,Chemistry,Mid Semester,30,12.98,43.27,2025-11-10,Prof. Kumar
4,Chemistry,Assignment 1,10,2.13,21.29,2025-09-30,Prof. Singh
4,Chemistry,Assignment 2,10,7.19,71.94,2025-10-30,Prof. Singh
4,Chemistry,Lab Internal,10,8.01,80.12,2025-11-20,Prof. Gupta
4,Computer Science,Unit Test 1,20,9.32,46.62,2025-09-15,Prof. Gupta
4,Computer Science,Unit Test 2,20,7.92,39.61,2025-10-20,Prof. Gupta
4,Computer Science,Mid Semester,30,8.57,28.57,2025-11-10,Prof. Gupta
4,Computer Science,Assignment 1,10,3.27,32.73,2025-09-30,Prof. Gupta
4,Computer Science,Assignment 2,10,6.17,61.65,2025-10-30,Prof. Singh
4,Computer Science,Lab Internal,10,6.37,63.74,2025-11-20,Prof. Singh
4,Electronics,Unit Test 1,20,10.98,54.9,2025-09-15,Prof. Gupta
4,Electronics,Unit Test 2,20,9.37,46.84,2025-10-20,Prof. Singh
4,Electronics,Mid Semester,30,7.4,24.66,2025-11-10,Prof. Kumar
4,Electronics,Assignment 1,10,6.31,63.06,2025-09-30,Prof. Kumar
4,Electronics,Assignment 2,10,5.45,54.51,2025-10-30,Prof. Kumar
4,Electronics,Lab Internal,10,7.68,76.78,2025-11-20,Prof. Singh
4,Mechanical Engineering,Unit Test 1,20,8.13,40.65,2025-09-15,Prof. Gupta
4,Mechanical Engineering,Unit Test 2,20,4.85,24.27,2025-10-20,Prof. Gupta
4,Mechanical Engineering,Mid Semester,30,15.24,50.8,2025-11-10,Prof. Singh
4,Mechanical Engineering,Assignment 1,10,7.95,79.49,2025-09-30,Prof. Singh
4,Mechanical Engineering,Assignment 2,10,2.51,25.13,2025-10-30,Prof. Gupta
4,Mechanical Engineering,Lab Internal,10,7.75,77.52,2025-11-20,Prof. Kumar
5,Mathematics,Unit Test 1,20,11.89,59.46,2025-09-15,Prof. Kumar
5,Mathematics,Unit Test 2,20,15.06,75.28,2025-10-20,Prof. Singh
5,Mathematics,Mid Semester,30,18.48,61.59,2025-11-10,Prof. Gupta
5,Mathematics,Assignment 1,10,6.43,64.34,2025-09-30,Prof. Kumar
5,Mathematics,Assignment 2,10,6.18,61.82,2025-10-30,Prof. Singh
5,Mathematics,Lab Internal,10,7.38,73.79,2025-11-20,Prof. Kumar
5,Physics,Unit Test 1,20,13.29,66.44,2025-09-15,Prof. Gupta
5,Physics,Unit Test 2,20,8.82,44.1,2025-10-20,Prof. Gupta
5,Physics,Mid Semester,30,21.12,70.41,2025-11-10,Prof. Singh
5,Physics,Assignment 1,10,8.5,85.02,2025-09-30,Prof. Singh
5,Physics,Assignment 2,10,7.81,78.12,2025-10-30,Prof. Kumar
5,Physics,Lab Internal,10,8.58,85.81,2025-11-20,Prof. Gupta
5,Chemistry,Unit Test 1,20,15.95,79.73,2025-09-15,Prof. Singh
5,Chemistry,Unit Test 2,20,12.06,60.29,2025-10-20,Prof. Singh
5,Chemistry,Mid Semester,30,12.92,43.06,2025-11-10,Prof. Gupta
5,Chemistry,Assignment 1,10,5.3,53.03,2025-09-30,Prof. Singh
5,Chemistry,Assignment 2,10,5.33,53.26,2025-10-30,Prof. Gupta
5,Chemistry,Lab Internal,10,5.09,50.87,2025-11-20,Prof. Gupta
5,Computer Science,Unit Test 1,20,14.02,70.1,2025-09-15,Prof. Singh
5,Computer Science,Unit Test 2,20,15.17,75.87,2025-10-20,Prof. Kumar
5,Computer Science,Mid Semester,30,24.34,81.12,2025-11-10,Prof. Singh
5,Computer Science,Assignment 1,10,6.79,67.91,2025-09-30,Prof. Kumar
5,Computer Science,Assignment 2,10,5.14,51.36,2025-10-30,Prof. Gupta
5,Computer Science,Lab Internal,10,9.21,92.12,2025-11-20,Prof. Kumar
5,Electronics,Unit Test 1,20,11.25,56.25,2025-09-15,Prof. Kumar
5,Electronics,Unit Test 2,20,10.61,53.03,2025-10-20,Prof. Singh
5,Electronics,Mid Semester,30,16.99,56.64,2025-11-10,Prof. Gupta
5,Electronics,Assignment 1,10,9.86,98.57,2025-09-30,Prof. Kumar
5,Electronics,Assignment 2,10,9.19,91.86,2025-10-30,Prof. Kumar
5,Electronics,Lab Internal,10,9.66,96.63,2025-11-20,Prof. Gupta
5,Mechanical Engineering,Unit Test 1,20,15.92,79.6,2025-09-15,Prof. Kumar
5,Mechanical Engineering,Unit Test 2,20,20.0,100.0,2025-10-20,Prof. Kumar
5,Mechanical Engineering,Mid Semester,30,17.76,59.19,2025-11-10,Prof. Kumar
5,Mechanical Engineering,Assignment 1,10,3.98,39.81,2025-09-30,Prof. Kumar
5,Mechanical Engineering,Assignment 2,10,6.99,69.91,2025-10-30,Prof. Singh
5,Mechanical Engineering,Lab Internal,10,7.51,75.11,2025-11-20,Prof. Kumar
6,Mathematics,Unit Test 1,20,10.11,50.57,2025-09-15,Prof. Kumar
6,Mathematics,Unit Test 2,20,12.18,60.88,2025-10-20,Prof. Singh
6,Mathematics,Mid Semester,30,15.5,51.67,2025-11-10,Prof. Gupta
6,Mathematics,Assignment 1,10,4.0,39.99,2025-09-30,Prof. Singh
6,Mathematics,Assignment 2,10,5.25,52.51,2025-10-30,Prof. Singh
6,Mathematics,Lab Internal,10,6.9,68.96,2025-11-20,Prof. Kumar
6,Physics,Unit Test 1,20,8.81,44.07,2025-09-15,Prof. Gupta
6,Physics,Unit Test 2,20,5.96,29.78,2025-10-20,Prof. Singh
6,Physics,Mid Semester,30,17.79,59.32,2025-11-10,Prof. Kumar
6,Physics,Assignment 1,10,7.03,70.28,2025-09-30,Prof. Gupta
6,Physics,Assignment 2,10,6.97,69.69,2025-10-30,Prof. Gupta
6,Physics,Lab Internal,10,2.76,27.6,2025-11-20,Prof. Gupta
6,Chemistry,Unit Test 1,20,9.87,49.37,2025-09-15,Prof. Gupta
6,Chemistry,Unit Test 2,20,7.38,36.92,2025-10-20,Prof. Gupta
6,Chemistry,Mid Semester,30,11.17,37.25,2025-11-10,Prof. Singh
6,Chemistry,Assignment 1,10,5.3,53.04,2025-09-30,Prof. Kumar
6,Chemistry,Assignment 2,10,5.48,54.85,2025-10-30,Prof. Singh
6,Chemistry,Lab Internal,10,2.33,23.26,2025-11-20,Prof. Gupta
6,Computer Science,Unit Test 1,20,10.59,52.93,2025-09-15,Prof. Gupta
6,Computer Science,Unit Test 2,20,4.83,24.13,2025-10-20,Prof. Singh
6,Computer Science,Mid Semester,30,14.9,49.67,2025-11-10,Prof. Gupta
6,Computer Science,Assignment 1,10,3.54,35.41,2025-09-30,Prof. Kumar
6,Computer Science,Assignment 2,10,5.29,52.89,2025-10-30,Prof. Kumar
6,Computer Science,Lab Internal,10,4.22,42.21,2025-11-20,Prof. Gupta
6,Electronics,Unit Test 1,20,10.17,50.87,2025-09-15,Prof. Gupta
6,Electronics,Unit Test 2,20,5.0,24.99,2025-10-20,Prof. Singh
6,Electronics,Mid Semester,30,12.28,40.92,2025-11-10,Prof. Singh
6,Electronics,Assignment 1,10,4.29,42.85,2025-09-30,Prof. Singh
6,Electronics,Assignment 2,10,4.3,43.05,2025-10-30,Prof. Singh
6,Electronics,Lab Internal,10,1.53,15.28,2025-11-20,Prof. Kumar
6,Mechanical Engineering,Unit Test 1,20,6.91,34.53,2025-09-15,Prof. Singh
6,Mechanical Engineering,Unit Test 2,20,11.97,59.84,2025-10-20,Prof. Gupta
6,Mechanical Engineering,Mid Semester,30,11.59,38.63,2025-11-10,Prof. Gupta
6,Mechanical Engineering,Assignment 1,10,4.69,46.9,2025-09-30,Prof. Gupta
6,Mechanical Engineering,Assignment 2,10,1.61,16.11,2025-10-30,Prof. Singh
6,Mechanical Engineering,Lab Internal,10,3.64,36.39,2025-11-20,Prof. Kumar
7,Mathematics,Unit Test 1,20,9.85,49.25,2025-09-15,Prof. Singh
7,Mathematics,Unit Test 2,20,10.38,51.88,2025-10-20,Prof. Gupta
7,Mathematics,Mid Semester,30,12.52,41.75,2025-11-10,Prof. Kumar
7,Mathematics,Assignment 1,10,1.67,16.68,2025-09-30,Prof. Kumar
7,Mathematics,Assignment 2,10,7.08,70.83,2025-10-30,Prof. Gupta
7,Mathematics,Lab Internal,10,6.68,66.8,2025-11-20,Prof. Gupta
7,Physics,Unit Test 1,20,5.9,29.5,2025-09-15,Prof. Kumar
7,Physics,Unit Test 2,20,8.46,42.3,2025-10-20,Prof. Kumar
7,Physics,Mid Semester,30,12.78,42.6,2025-11-10,Prof. Gupta
7,Physics,Assignment 1,10,4.9,49.03,2025-09-30,Prof. Gupta
7,Physics,Assignment 2,10,2.57,25.67,2025-10-30,Prof. Gupta
7,Physics,Lab Internal,10,5.82,58.22,2025-11-20,Prof. Kumar
7,Chemistry,Unit Test 1,20,10.31,51.57,2025-09-15,Prof. Singh
7,Chemistry,Unit Test 2,20,6.74,33.68,2025-10-20,Prof. Gupta
7,Chemistry,Mid Semester,30,17.64,58.8,2025-11-10,Prof. Singh
7,Chemistry,Assignment 1,10,4.89,48.9,2025-09-30,Prof. Gupta
7,Chemistry,Assignment 2,10,6.94,69.37,2025-10-30,Prof. Singh
7,Chemistry,Lab Internal,10,1.8,18.03,2025-11-20,Prof. Gupta
7,Computer Science,Unit Test 1,20,10.99,54.97,2025-09-15,Prof. Singh
7,Computer Science,Unit Test 2,20,6.0,30.0,2025-10-20,Prof. Gupta
7,Computer Science,Mid Semester,30,17.79,59.29,2025-11-10,Prof. Gupta
7,Computer Science,Assignment 1,10,4.0,39.97,2025-09-30,Prof. Singh
7,Computer Science,Assignment 2,10,6.85,68.49,2025-10-30,Prof. Singh
7,Computer Science,Lab Internal,10,3.06,30.57,2025-11-20,Prof. Gupta
7,Electronics,Unit Test 1,20,7.1,35.52,2025-09-15,Prof. Gupta
7,Electronics,Unit Test 2,20,11.52,57.61,2025-10-20,Prof. Gupta
7,Electronics,Mid Semester,30,11.01,36.71,2025-11-10,Prof. Gupta
7,Electronics,Assignment 1,10,1.98,19.81,2025-09-30,Prof. Singh
7,Electronics,Assignment 2,10,3.81,38.06,2025-10-30,Prof. Singh
7,Electronics,Lab Internal,10,2.73,27.3,2025-11-20,Prof. Kumar
7,Mechanical Engineering,Unit Test 1,20,9.17,45.87,2025-09-15,Prof. Singh
7,Mechanical Engineering,Unit Test 2,20,11.37,56.83,2025-10-20,Prof. Singh
7,Mechanical Engineering,Mid Semester,30,14.23,47.44,2025-11-10,Prof. Singh
7,Mechanical Engineering,Assignment 1,10,6.94,69.42,2025-09-30,Prof. Kumar
7,Mechanical Engineering,Assignment 2,10,5.76,57.58,2025-10-30,Prof. Singh
7,Mechanical Engineering,Lab Internal,10,4.84,48.42,2025-11-20,Prof. Gupta
8,Mathematics,Unit Test 1,20,14.43,72.13,2025-09-15,Prof. Singh
8,Mathematics,Unit Test 2,20,14.45,72.25,2025-10-20,Prof. Gupta
8,Mathematics,Mid Semester,30,24.35,81.18,2025-11-10,Prof. Kumar
8,Mathematics,Assignment 1,10,5.91,59.12,2025-09-30,Prof. Singh
8,Mathematics,Assignment 2,10,9.54,95.41,2025-10-30,Prof. Kumar
8,Mathematics,Lab Internal,10,8.63,86.28,2025-11-20,Prof. Singh
8,Physics,Unit Test 1,20,14.58,72.88,2025-09-15,Prof. Gupta
8,Physics,Unit Test 2,20,11.79,58.97,2025-10-20,Prof. Singh
8,Physics,Mid Semester,30,26.74,89.13,2025-11-10,Prof. Singh
8,Physics,Assignment 1,10,10.0,100.0,2025-09-30,Prof. Singh
8,Physics,Assignment 2,10,8.97,89.67,2025-10-30,Prof. Kumar
8,Physics,Lab Internal,10,5.68,56.79,2025-11-20,Prof. Singh
8,Chemistry,Unit Test 1,20,18.56,92.78,2025-09-15,Prof. Singh
8,Chemistry,Unit Test 2,20,13.47,67.33,2025-10-20,Prof. Gupta
8,Chemistry,Mid Semester,30,16.23,54.1,2025-11-10,Prof. Singh
8,Chemistry,Assignment 1,10,9.23,92.29,2025-09-30,Prof. Singh
8,Chemistry,Assignment 2,10,5.51,55.13,2025-10-30,Prof. Gupta
8,Chemistry,Lab Internal,10,10.0,100.0,2025-11-20,Prof. Gupta
8,Computer Science,Unit Test 1,20,16.01,80.06,2025-09-15,Prof. Gupta
8,Computer Science,Unit Test 2,20,16.54,82.72,2025-10-20,Prof. Singh
8,Computer Science,Mid Semester,30,18.28,60.94,2025-11-10,Prof. Kumar
8,Computer Science,Assignment 1,10,5.96,59.56,2025-09-30,Prof. Singh
8,Computer Science,Assignment 2,10,6.95,69.51,2025-10-30,Prof. Kumar
8,Computer Science,Lab Internal,10,7.98,79.8,2025-11-20,Prof. Kumar
8,Electronics,Unit Test 1,20,17.79,88.93,2025-09-15,Prof. Kumar
8,Electronics,Unit Test 2,20,19.95,99.77,2025-10-20,Prof. Kumar
8,Electronics,Mid Semester,30,15.56,51.85,2025-11-10,Prof. Singh
8,Electronics,Assignment 1,10,5.65,56.47,2025-09-30,Prof. Gupta
8,Electronics,Assignment 2,10,4.97,49.75,2025-10-30,Prof. Kumar
8,Electronics,Lab Internal,10,8.28,82.77,2025-11-20,Prof. Singh
8,Mechanical Engineering,Unit Test 1,20,13.43,67.17,2025-09-15,Prof. Singh
8,Mechanical Engineering,Unit Test 2,20,18.43,92.17,2025-10-20,Prof. Kumar
8,Mechanical Engineering,Mid Semester,30,19.63,65.44,2025-11-10,Prof. Gupta
8,Mechanical Engineering,Assignment 1,10,4.69,46.86,2025-09-30,Prof. Gupta
8,Mechanical Engineering,Assignment 2,10,10.0,100.0,2025-10-30,Prof. Gupta
8,Mechanical Engineering,Lab Internal,10,5.45,54.54,2025-11-20,Prof. Gupta
9,Mathematics,Unit Test 1,20,9.94,49.7,2025-09-15,Prof. Singh
9,Mathematics,Unit Test 2,20,10.27,51.34,2025-10-20,Prof. Kumar
9,Mathematics,Mid Semester,30,15.69,52.31,2025-11-10,Prof. Kumar
9,Mathematics,Assignment 1,10,8.93,89.31,2025-09-30,Prof. Gupta
9,Mathematics,Assignment 2,10,6.49,64.86,2025-10-30,Prof. Kumar
9,Mathematics,Lab Internal,10,5.61,56.09,2025-11-20,Prof. Gupta
9,Physics,Unit Test 1,20,11.78,58.92,2025-09-15,Prof. Singh
9,Physics,Unit Test 2,20,7.11,35.54,2025-10-20,Prof. Kumar
9,Physics,Mid Semester,30,15.58,51.95,2025-11-10,Prof. Gupta
9,Physics,Assignment 1,10,7.69,76.9,2025-09-30,Prof. Gupta
9,Physics,Assignment 2,10,7.87,78.73,2025-10-30,Prof. Singh
9,Physics,Lab Internal,10,6.15,61.52,2025-11-20,Prof. Singh
9,Chemistry,Unit Test 1,20,12.95,64.74,2025-09-15,Prof. Gupta
9,Chemistry,Unit Test 2,20,10.89,54.44,2025-10-20,Prof. Singh
9,Chemistry,Mid Semester,30,17.79,59.29,2025-11-10,Prof. Gupta
9,Chemistry,Assignment 1,10,5.59,55.89,2025-09-30,Prof. Gupta
9,Chemistry,Assignment 2,10,2.22,22.18,2025-10-30,Prof. Singh
9,Chemistry,Lab Internal,10,4.74,47.41,2025-11-20,Prof. Kumar
9,Computer Science,Unit Test 1,20,13.84,69.22,2025-09-15,Prof. Singh
9,Computer Science,Unit Test 2,20,13.44,67.2,2025-10-20,Prof. Singh
9,Computer Science,Mid Semester,30,16.24,54.14,2025-11-10,Prof. Singh
9,Computer Science,Assignment 1,10,8.58,85.77,2025-09-30,Prof. Kumar
9,Computer Science,Assignment 2,10,7.44,74.4,2025-10-30,Prof. Singh
9,Computer Science,Lab Internal,10,2.23,22.28,2025-11-20,Prof. Kumar
9,Electronics,Unit Test 1,20,14.57,72.83,2025-09-15,Prof. Gupta
9,Electronics,Unit Test 2,20,12.74,63.7,2025-10-20,Prof. Kumar
9,Electronics,Mid Semester,30,21.04,70.13,2025-11-10,Prof. Singh
9,Electronics,Assignment 1,10,7.4,74.04,2025-09-30,Prof. Kumar
9,Electronics,Assignment 2,10,2.49,24.86,2025-10-30,Prof. Gupta
9,Electronics,Lab Internal,10,4.16,41.64,2025-11-20,Prof. Gupta
9,Mechanical Engineering,Unit Test 1,20,14.83,74.16,2025-09-15,Prof. Kumar
9,Mechanical Engineering,Unit Test 2,20,11.09,55.43,2025-10-20,Prof. Gupta
9,Mechanical Engineering,Mid Semester,30,15.26,50.88,2025-11-10,Prof. Gupta
9,Mechanical Engineering,Assignment 1,10,5.74,57.38,2025-09-30,Prof. Singh
9,Mechanical Engineering,Assignment 2,10,3.88,38.78,2025-10-30,Prof. Kumar
9,Mechanical Engineering,Lab Internal,10,6.25,62.52,2025-11-20,Prof. Kumar
10,Mathematics,Unit Test 1,20,17.72,88.59,2025-09-15,Prof. Singh
10,Mathematics,Unit Test 2,20,14.05,70.23,2025-10-20,Prof. Gupta
10,Mathematics,Mid Semester,30,22.85,76.16,2025-11-10,Prof. Singh
10,Mathematics,Assignment 1,10,6.08,60.82,2025-09-30,Prof. Gupta
10,Mathematics,Assignment 2,10,7.97,79.7,2025-10-30,Prof. Singh
10,Mathematics,Lab Internal,10,10.0,100.0,2025-11-20,Prof. Kumar
10,Physics,Unit Test 1,20,20.0,100.0,2025-09-15,Prof. Kumar
10,Physics,Unit Test 2,20,20.0,100.0,2025-10-20,Prof. Kumar
10,Physics,Mid Semester,30,22.58,75.26,2025-11-10,Prof. Kumar
10,Physics,Assignment 1,10,7.42,74.18,2025-09-30,Prof. Singh
10,Physics,Assignment 2,10,7.13,71.3,2025-10-30,Prof. Kumar
10,Physics,Lab Internal,10,6.29,62.94,2025-11-20,Prof. Gupta
10,Chemistry,Unit Test 1,20,13.58,67.9,2025-09-15,Prof. Singh
10,Chemistry,Unit Test 2,20,15.43,77.16,2025-10-20,Prof. Singh
