student_id,installment,amount_due,due_date,payment_date,amount_paid,status,payment_method,receipt_number
17,Semester 2 - Tuition,35000,2025-01-15,2025-01-12,35000,Paid - On Time,DD,RCP53186
17,Semester 2 - Other,15000,2025-01-15,2025-03-04,15000,Paid - Late,Cheque,RCP19342
18,Semester 1 - Tuition,35000,2025-08-15,2025-08-11,35000,Paid - On Time,Online,RCP67420
18,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Cheque,RCP51480
18,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
18,Semester 2 - Other,15000,2025-01-15,2025-03-02,15000,Paid - Late,Cheque,RCP71047
19,Semester 1 - Tuition,35000,2025-08-15,2025-10-04,35000,Paid - Late,DD,RCP48101
19,Semester 1 - Other,15000,2025-08-15,2025-08-13,15000,Paid - On Time,Cheque,RCP71473
19,Semester 2 - Tuition,35000,2025-01-15,2025-01-07,35000,Paid - On Time,Cheque,RCP23178
19,Semester 2 - Other,15000,2025-01-15,2025-01-05,15000,Paid - On Time,Cheque,RCP19814
20,Semester 1 - Tuition,35000,2025-08-15,2025-08-08,35000,Paid - On Time,Online,RCP44681
20,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Cash,RCP39984
20,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
20,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
21,Semester 1 - Tuition,35000,2025-08-15,2025-08-13,35000,Paid - On Time,Cheque,RCP67049
21,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
21,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
21,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
22,Semester 1 - Tuition,35000,2025-08-15,2025-08-11,35000,Paid - On Time,DD,RCP32310
22,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
22,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
22,Semester 2 - Other,15000,2025-01-15,2025-02-28,15000,Paid - Late,Cash,RCP98037
23,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
23,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
23,Semester 2 - Tuition,35000,2025-01-15,2025-02-24,35000,Paid - Late,Online,RCP97481
23,Semester 2 - Other,15000,2025-01-15,2025-02-06,15000,Paid - Late,DD,RCP43519
24,Semester 1 - Tuition,35000,2025-08-15,2025-08-08,35000,Paid - On Time,Cheque,RCP12775
24,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Cash,RCP88149
24,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
24,Semester 2 - Other,15000,2025-01-15,2025-01-13,15000,Paid - On Time,Cheque,RCP73924
25,Semester 1 - Tuition,35000,2025-08-15,2025-09-22,35000,Paid - Late,Cash,RCP56809
25,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
25,Semester 2 - Tuition,35000,2025-01-15,2025-01-09,35000,Paid - On Time,DD,RCP15160
25,Semester 2 - Other,15000,2025-01-15,2025-01-25,15000,Paid - Late,Online,RCP79411
26,Semester 1 - Tuition,35000,2025-08-15,2025-08-07,35000,Paid - On Time,Cheque,RCP45618
26,Semester 1 - Other,15000,2025-08-15,2025-10-03,15000,Paid - Late,Online,RCP13079
26,Semester 2 - Tuition,35000,2025-01-15,2025-02-19,35000,Paid - Late,Online,RCP14561
26,Semester 2 - Other,15000,2025-01-15,2025-03-16,15000,Paid - Late,Cheque,RCP26212
27,Semester 1 - Tuition,35000,2025-08-15,2025-08-09,35000,Paid - On Time,Cash,RCP25299
27,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Cheque,RCP78392
27,Semester 2 - Tuition,35000,2025-01-15,2025-01-09,35000,Paid - On Time,Cheque,RCP76297
27,Semester 2 - Other,15000,2025-01-15,2025-01-11,15000,Paid - On Time,DD,RCP41962
28,Semester 1 - Tuition,35000,2025-08-15,2025-09-27,35000,Paid - Late,Cheque,RCP21679
28,Semester 1 - Other,15000,2025-08-15,2025-08-05,15000,Paid - On Time,Online,RCP12405
28,Semester 2 - Tuition,35000,2025-01-15,2025-01-28,35000,Paid - Late,Cash,RCP71595
28,Semester 2 - Other,15000,2025-01-15,2025-03-01,15000,Paid - Late,Cheque,RCP23075
29,Semester 1 - Tuition,35000,2025-08-15,2025-09-05,35000,Paid - Late,Online,RCP18471
29,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Cheque,RCP33791
29,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
29,Semester 2 - Other,15000,2025-01-15,2025-01-06,15000,Paid - On Time,Cheque,RCP48550
30,Semester 1 - Tuition,35000,2025-08-15,2025-10-03,35000,Paid - Late,Online,RCP56040
30,Semester 1 - Other,15000,2025-08-15,2025-08-05,15000,Paid - On Time,Online,RCP79910
30,Semester 2 - Tuition,35000,2025-01-15,2025-01-11,35000,Paid - On Time,DD,RCP16426
30,Semester 2 - Other,15000,2025-01-15,2025-01-09,15000,Paid - On Time,DD,RCP49565
31,Semester 1 - Tuition,35000,2025-08-15,2025-10-07,35000,Paid - Late,Cheque,RCP15986
31,Semester 1 - Other,15000,2025-08-15,2025-10-04,15000,Paid - Late,Cheque,RCP15554
31,Semester 2 - Tuition,35000,2025-01-15,2025-02-01,35000,Paid - Late,DD,RCP44549
31,Semester 2 - Other,15000,2025-01-15,2025-01-13,15000,Paid - On Time,DD,RCP80201
32,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
32,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
32,Semester 2 - Tuition,35000,2025-01-15,2025-01-13,35000,Paid - On Time,Cheque,RCP82406
32,Semester 2 - Other,15000,2025-01-15,2025-02-09,15000,Paid - Late,Online,RCP38775
33,Semester 1 - Tuition,35000,2025-08-15,2025-09-11,35000,Paid - Late,DD,RCP65599
33,Semester 1 - Other,15000,2025-08-15,2025-08-05,15000,Paid - On Time,Cash,RCP21263
33,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
33,Semester 2 - Other,15000,2025-01-15,2025-01-10,15000,Paid - On Time,Cash,RCP55738
34,Semester 1 - Tuition,35000,2025-08-15,2025-10-14,35000,Paid - Late,Online,RCP86428
34,Semester 1 - Other,15000,2025-08-15,2025-09-14,15000,Paid - Late,Online,RCP76903
34,Semester 2 - Tuition,35000,2025-01-15,2025-01-29,35000,Paid - Late,Cash,RCP22425
34,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
35,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
35,Semester 1 - Other,15000,2025-08-15,2025-08-09,15000,Paid - On Time,DD,RCP41663
35,Semester 2 - Tuition,35000,2025-01-15,2025-01-26,35000,Paid - Late,Online,RCP24028
35,Semester 2 - Other,15000,2025-01-15,2025-02-04,15000,Paid - Late,Online,RCP18721
36,Semester 1 - Tuition,35000,2025-08-15,2025-08-15,35000,Paid - On Time,Cheque,RCP83544
36,Semester 1 - Other,15000,2025-08-15,2025-08-06,15000,Paid - On Time,Cheque,RCP80173
36,Semester 2 - Tuition,35000,2025-01-15,2025-01-08,35000,Paid - On Time,Cheque,RCP24271
36,Semester 2 - Other,15000,2025-01-15,2025-01-13,15000,Paid - On Time,Online,RCP47488
37,Semester 1 - Tuition,35000,2025-08-15,2025-08-14,35000,Paid - On Time,Cheque,RCP45544
37,Semester 1 - Other,15000,2025-08-15,2025-08-13,15000,Paid - On Time,Cheque,RCP87550
37,Semester 2 - Tuition,35000,2025-01-15,2025-01-13,35000,Paid - On Time,Online,RCP19130
37,Semester 2 - Other,15000,2025-01-15,2025-01-07,15000,Paid - On Time,Cheque,RCP81789
38,Semester 1 - Tuition,35000,2025-08-15,2025-08-07,35000,Paid - On Time,DD,RCP44460
38,Semester 1 - Other,15000,2025-08-15,2025-08-14,15000,Paid - On Time,Online,RCP86334
38,Semester 2 - Tuition,35000,2025-01-15,2025-03-05,35000,Paid - Late,Cheque,RCP46194
38,Semester 2 - Other,15000,2025-01-15,2025-01-08,15000,Paid - On Time,Cheque,RCP73144
39,Semester 1 - Tuition,35000,2025-08-15,2025-09-09,35000,Paid - Late,Cash,RCP76476
39,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Cash,RCP80211
39,Semester 2 - Tuition,35000,2025-01-15,2025-01-11,35000,Paid - On Time,Cash,RCP36071
39,Semester 2 - Other,15000,2025-01-15,2025-02-04,15000,Paid - Late,Online,RCP39402
40,Semester 1 - Tuition,35000,2025-08-15,2025-09-24,35000,Paid - Late,Cash,RCP72786
40,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Online,RCP48346
40,Semester 2 - Tuition,35000,2025-01-15,2025-01-08,35000,Paid - On Time,Cash,RCP86032
40,Semester 2 - Other,15000,2025-01-15,2025-01-10,15000,Paid - On Time,Cheque,RCP56850
41,Semester 1 - Tuition,35000,2025-08-15,2025-08-14,35000,Paid - On Time,DD,RCP64874
41,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
41,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
41,Semester 2 - Other,15000,2025-01-15,2025-02-19,15000,Paid - Late,Cheque,RCP21490
42,Semester 1 - Tuition,35000,2025-08-15,2025-08-09,35000,Paid - On Time,DD,RCP66487
42,Semester 1 - Other,15000,2025-08-15,2025-08-08,15000,Paid - On Time,Online,RCP14449
42,Semester 2 - Tuition,35000,2025-01-15,2025-01-14,35000,Paid - On Time,Cheque,RCP12298
42,Semester 2 - Other,15000,2025-01-15,2025-01-06,15000,Paid - On Time,Online,RCP57781
43,Semester 1 - Tuition,35000,2025-08-15,2025-08-13,35000,Paid - On Time,Cash,RCP57949
43,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
43,Semester 2 - Tuition,35000,2025-01-15,2025-01-11,35000,Paid - On Time,Cash,RCP44990
43,Semester 2 - Other,15000,2025-01-15,2025-01-15,15000,Paid - On Time,DD,RCP15639
44,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
44,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
44,Semester 2 - Tuition,35000,2025-01-15,2025-02-21,35000,Paid - Late,DD,RCP75525
44,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
45,Semester 1 - Tuition,35000,2025-08-15,2025-08-05,35000,Paid - On Time,DD,RCP13534
45,Semester 1 - Other,15000,2025-08-15,2025-08-14,15000,Paid - On Time,DD,RCP73954
45,Semester 2 - Tuition,35000,2025-01-15,2025-01-06,35000,Paid - On Time,Online,RCP72504
45,Semester 2 - Other,15000,2025-01-15,2025-02-06,15000,Paid - Late,Online,RCP45281
46,Semester 1 - Tuition,35000,2025-08-15,2025-09-21,35000,Paid - Late,Cheque,RCP25149
46,Semester 1 - Other,15000,2025-08-15,2025-08-08,15000,Paid - On Time,Cheque,RCP90787
46,Semester 2 - Tuition,35000,2025-01-15,2025-01-31,35000,Paid - Late,DD,RCP11608
46,Semester 2 - Other,15000,2025-01-15,2025-01-25,15000,Paid - Late,Cheque,RCP84267
47,Semester 1 - Tuition,35000,2025-08-15,2025-09-13,35000,Paid - Late,Cash,RCP92828
47,Semester 1 - Other,15000,2025-08-15,2025-08-12,15000,Paid - On Time,DD,RCP49811
47,Semester 2 - Tuition,35000,2025-01-15,2025-02-10,35000,Paid - Late,Online,RCP20562
47,Semester 2 - Other,15000,2025-01-15,2025-01-12,15000,Paid - On Time,Cash,RCP90732
48,Semester 1 - Tuition,35000,2025-08-15,2025-08-13,35000,Paid - On Time,Cash,RCP52445
48,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
48,Semester 2 - Tuition,35000,2025-01-15,2025-01-14,35000,Paid - On Time,Online,RCP73793
48,Semester 2 - Other,15000,2025-01-15,2025-03-04,15000,Paid - Late,Cash,RCP83296
49,Semester 1 - Tuition,35000,2025-08-15,2025-08-09,35000,Paid - On Time,Cheque,RCP50394
49,Semester 1 - Other,15000,2025-08-15,2025-08-12,15000,Paid - On Time,Online,RCP18833
49,Semester 2 - Tuition,35000,2025-01-15,2025-01-08,35000,Paid - On Time,Cheque,RCP86880
49,Semester 2 - Other,15000,2025-01-15,2025-01-09,15000,Paid - On Time,Cheque,RCP69440
50,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
50,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
50,Semester 2 - Tuition,35000,2025-01-15,2025-01-25,35000,Paid - Late,Cheque,RCP17339
50,Semester 2 - Other,15000,2025-01-15,2025-03-12,15000,Paid - Late,DD,RCP36221
51,Semester 1 - Tuition,35000,2025-08-15,2025-08-13,35000,Paid - On Time,Cheque,RCP55834
51,Semester 1 - Other,15000,2025-08-15,2025-08-09,15000,Paid - On Time,Cash,RCP55761
51,Semester 2 - Tuition,35000,2025-01-15,2025-01-09,35000,Paid - On Time,Cash,RCP88303
51,Semester 2 - Other,15000,2025-01-15,2025-02-10,15000,Paid - Late,Cash,RCP34262
52,Semester 1 - Tuition,35000,2025-08-15,2025-08-05,35000,Paid - On Time,Cash,RCP61420
52,Semester 1 - Other,15000,2025-08-15,2025-08-25,15000,Paid - Late,DD,RCP57710
52,Semester 2 - Tuition,35000,2025-01-15,2025-01-06,35000,Paid - On Time,Online,RCP71579
52,Semester 2 - Other,15000,2025-01-15,2025-01-05,15000,Paid - On Time,Online,RCP84034
53,Semester 1 - Tuition,35000,2025-08-15,2025-08-11,35000,Paid - On Time,Cheque,RCP76771
53,Semester 1 - Other,15000,2025-08-15,2025-08-13,15000,Paid - On Time,Online,RCP80930
53,Semester 2 - Tuition,35000,2025-01-15,2025-01-06,35000,Paid - On Time,Cheque,RCP61124
53,Semester 2 - Other,15000,2025-01-15,2025-03-04,15000,Paid - Late,DD,RCP45762
54,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
54,Semester 1 - Other,15000,2025-08-15,2025-08-09,15000,Paid - On Time,Cheque,RCP19520
54,Semester 2 - Tuition,35000,2025-01-15,2025-01-29,35000,Paid - Late,Cheque,RCP83687
54,Semester 2 - Other,15000,2025-01-15,2025-01-07,15000,Paid - On Time,DD,RCP24871
55,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
55,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
55,Semester 2 - Tuition,35000,2025-01-15,2025-01-08,35000,Paid - On Time,DD,RCP15944
55,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
56,Semester 1 - Tuition,35000,2025-08-15,2025-08-12,35000,Paid - On Time,Online,RCP69438
56,Semester 1 - Other,15000,2025-08-15,2025-08-15,15000,Paid - On Time,Online,RCP51836
56,Semester 2 - Tuition,35000,2025-01-15,2025-01-15,35000,Paid - On Time,Cash,RCP80125
56,Semester 2 - Other,15000,2025-01-15,2025-01-08,15000,Paid - On Time,Cash,RCP93149
57,Semester 1 - Tuition,35000,2025-08-15,2025-10-05,35000,Paid - Late,Cheque,RCP26223
57,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
57,Semester 2 - Tuition,35000,2025-01-15,2025-01-15,35000,Paid - On Time,DD,RCP78224
57,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
58,Semester 1 - Tuition,35000,2025-08-15,2025-08-10,35000,Paid - On Time,Cheque,RCP93072
58,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Cash,RCP33099
58,Semester 2 - Tuition,35000,2025-01-15,2025-01-13,35000,Paid - On Time,DD,RCP26891
58,Semester 2 - Other,15000,2025-01-15,2025-01-09,15000,Paid - On Time,Cash,RCP60241
59,Semester 1 - Tuition,35000,2025-08-15,2025-09-25,35000,Paid - Late,DD,RCP20841
59,Semester 1 - Other,15000,2025-08-15,2025-08-06,15000,Paid - On Time,Online,RCP24212
59,Semester 2 - Tuition,35000,2025-01-15,2025-01-15,35000,Paid - On Time,Cash,RCP51437
59,Semester 2 - Other,15000,2025-01-15,2025-02-06,15000,Paid - Late,Online,RCP42885
60,Semester 1 - Tuition,35000,2025-08-15,2025-08-06,35000,Paid - On Time,DD,RCP81754
60,Semester 1 - Other,15000,2025-08-15,2025-10-09,15000,Paid - Late,Cash,RCP15055
60,Semester 2 - Tuition,35000,2025-01-15,2025-01-12,35000,Paid - On Time,Online,RCP80457
60,Semester 2 - Other,15000,2025-01-15,2025-01-10,15000,Paid - On Time,Cash,RCP92009
61,Semester 1 - Tuition,35000,2025-08-15,2025-08-08,35000,Paid - On Time,DD,RCP92008
61,Semester 1 - Other,15000,2025-08-15,2025-08-09,15000,Paid - On Time,Online,RCP42047
61,Semester 2 - Tuition,35000,2025-01-15,2025-01-13,35000,Paid - On Time,DD,RCP70689
61,Semester 2 - Other,15000,2025-01-15,2025-03-09,15000,Paid - Late,Online,RCP47901
62,Semester 1 - Tuition,35000,2025-08-15,2025-08-12,35000,Paid - On Time,Cheque,RCP29406
62,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
62,Semester 2 - Tuition,35000,2025-01-15,2025-01-06,35000,Paid - On Time,Cheque,RCP57097
62,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
63,Semester 1 - Tuition,35000,2025-08-15,2025-08-11,35000,Paid - On Time,Online,RCP27134
63,Semester 1 - Other,15000,2025-08-15,2025-08-08,15000,Paid - On Time,Cash,RCP57878
63,Semester 2 - Tuition,35000,2025-01-15,2025-01-10,35000,Paid - On Time,Cash,RCP76616
63,Semester 2 - Other,15000,2025-01-15,2025-01-09,15000,Paid - On Time,Online,RCP65202
64,Semester 1 - Tuition,35000,2025-08-15,2025-08-14,35000,Paid - On Time,Cheque,RCP81562
64,Semester 1 - Other,15000,2025-08-15,2025-09-01,15000,Paid - Late,DD,RCP54222
64,Semester 2 - Tuition,35000,2025-01-15,2025-01-07,35000,Paid - On Time,Online,RCP22769
64,Semester 2 - Other,15000,2025-01-15,2025-01-09,15000,Paid - On Time,Cash,RCP63447
65,Semester 1 - Tuition,35000,2025-08-15,2025-08-31,35000,Paid - Late,DD,RCP93653
65,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
65,Semester 2 - Tuition,35000,2025-01-15,2025-02-24,35000,Paid - Late,Online,RCP31933
65,Semester 2 - Other,15000,2025-01-15,2025-03-13,15000,Paid - Late,Cash,RCP25688
66,Semester 1 - Tuition,35000,2025-08-15,2025-09-02,35000,Paid - Late,DD,RCP90398
66,Semester 1 - Other,15000,2025-08-15,2025-08-14,15000,Paid - On Time,Cheque,RCP53842
66,Semester 2 - Tuition,35000,2025-01-15,2025-01-08,35000,Paid - On Time,DD,RCP74520
66,Semester 2 - Other,15000,2025-01-15,2025-02-08,15000,Paid - Late,DD,RCP59404
67,Semester 1 - Tuition,35000,2025-08-15,2025-08-11,35000,Paid - On Time,Cheque,RCP94898
67,Semester 1 - Other,15000,2025-08-15,2025-08-05,15000,Paid - On Time,DD,RCP38651
67,Semester 2 - Tuition,35000,2025-01-15,2025-01-07,35000,Paid - On Time,DD,RCP19791
67,Semester 2 - Other,15000,2025-01-15,2025-01-10,15000,Paid - On Time,DD,RCP69736
68,Semester 1 - Tuition,35000,2025-08-15,2025-08-12,35000,Paid - On Time,Cheque,RCP30536
68,Semester 1 - Other,15000,2025-08-15,2025-08-05,15000,Paid - On Time,DD,RCP48847
68,Semester 2 - Tuition,35000,2025-01-15,2025-01-13,35000,Paid - On Time,Cash,RCP85095
68,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
69,Semester 1 - Tuition,35000,2025-08-15,2025-08-10,35000,Paid - On Time,Online,RCP36278
69,Semester 1 - Other,15000,2025-08-15,2025-08-13,15000,Paid - On Time,Cheque,RCP68312
69,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
69,Semester 2 - Other,15000,2025-01-15,2025-02-15,15000,Paid - Late,Cheque,RCP18393
70,Semester 1 - Tuition,35000,2025-08-15,2025-08-10,35000,Paid - On Time,Cheque,RCP88901
70,Semester 1 - Other,15000,2025-08-15,2025-08-09,15000,Paid - On Time,Cheque,RCP74723
70,Semester 2 - Tuition,35000,2025-01-15,2025-01-06,35000,Paid - On Time,Online,RCP44337
70,Semester 2 - Other,15000,2025-01-15,2025-03-09,15000,Paid - Late,DD,RCP25976
71,Semester 1 - Tuition,35000,2025-08-15,2025-08-15,35000,Paid - On Time,Cash,RCP15000
71,Semester 1 - Other,15000,2025-08-15,2025-08-10,15000,Paid - On Time,Cheque,RCP88475
71,Semester 2 - Tuition,35000,2025-01-15,2025-03-15,35000,Paid - Late,Cash,RCP50421
71,Semester 2 - Other,15000,2025-01-15,2025-03-13,15000,Paid - Late,Cheque,RCP46793
72,Semester 1 - Tuition,35000,2025-08-15,2025-08-31,35000,Paid - Late,DD,RCP15142
72,Semester 1 - Other,15000,2025-08-15,2025-10-06,15000,Paid - Late,Cheque,RCP96671
72,Semester 2 - Tuition,35000,2025-01-15,2025-02-19,35000,Paid - Late,Cheque,RCP41378
72,Semester 2 - Other,15000,2025-01-15,2025-01-10,15000,Paid - On Time,Cash,RCP44763
73,Semester 1 - Tuition,35000,2025-08-15,2025-08-05,35000,Paid - On Time,Online,RCP54983
73,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
73,Semester 2 - Tuition,35000,2025-01-15,2025-01-05,35000,Paid - On Time,Cash,RCP16019
73,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
74,Semester 1 - Tuition,35000,2025-08-15,2025-09-26,35000,Paid - Late,DD,RCP63353
